Site 1,Site 2,geog,FST,barrier,reg
Iles_Penchees,Baie_des_Bacon,11.01344434,0.003,0,EGSL
Iles_Penchees,Pointe_a_Emile,21.98595596,0.005,0,EGSL
Iles_Penchees,Forestville,43.88689087,0.011,0,EGSL
Iles_Penchees,Portneuf,51.15366307,0.011,0,EGSL
Iles_Penchees,Baie_Comeau1,122.5063757,0.015,0,EGSL
Iles_Penchees,Baie_Comeau2,124.6842978,0.015,0,EGSL
Iles_Penchees,BIC1,38.07570606,0.024,1,EGSL
Iles_Penchees,BIC2,44.35267437,0.025,1,EGSL
Baie_des_Bacon,Pointe_a_Emile,10.97251653,0.001,0,EGSL
Baie_des_Bacon,Forestville,32.87384048,0.009,0,EGSL
Baie_des_Bacon,Portneuf,40.17185472,0.009,0,EGSL
Baie_des_Bacon,Baie_Comeau1,112.2594918,0.013,0,EGSL
Baie_des_Bacon,Baie_Comeau2,114.1594261,0.014,0,EGSL
Baie_des_Bacon,BIC1,32.23661729,0.027,1,EGSL
Baie_des_Bacon,BIC2,37.92199004,0.027,1,EGSL
Pointe_a_Emile,Forestville,21.90233999,0.006,0,EGSL
Pointe_a_Emile,Portneuf,29.25625202,0.006,0,EGSL
Pointe_a_Emile,Baie_Comeau1,102.215526,0.01,0,EGSL
Pointe_a_Emile,Baie_Comeau2,103.7795134,0.01,0,EGSL
Pointe_a_Emile,BIC1,29.53418185,0.026,1,EGSL
Pointe_a_Emile,BIC2,33.95836355,0.026,1,EGSL
Forestville,Portneuf,7.800283918,0.001,0,EGSL
Forestville,Baie_Comeau1,82.6869825,0.006,0,EGSL
Forestville,Baie_Comeau2,83.36349289,0.007,0,EGSL
Forestville,BIC1,35.17932502,0.026,1,EGSL
Forestville,BIC2,35.78201374,0.026,1,EGSL
Portneuf,Baie_Comeau1,74.96119759,0.007,0,EGSL
Portneuf,Baie_Comeau2,75.56500821,0.007,0,EGSL
Portneuf,BIC1,37.41082239,0.026,1,EGSL
Portneuf,BIC2,36.64165823,0.027,1,EGSL
Baie_Comeau1,Baie_Comeau2,9.252644153,0.001,0,EGSL
Baie_Comeau1,BIC1,91.57984768,0.024,1,EGSL
Baie_Comeau1,BIC2,85.76405734,0.024,1,EGSL
Baie_Comeau2,BIC1,95.65457896,0.025,1,EGSL
Baie_Comeau2,BIC2,90.12702033,0.025,1,EGSL
BIC1,BIC2,6.505035192,0,0,EGSL
SA,GP,11.98514088,0.019,0,BOF
SA,GL,65.07301549,0.035,1,BOF
GP,GL,59.64755146,0.033,1,BOF
